,Title,Image,Old price,New price,Diagonal of display,Shape of display,Processor series,CPU,Cores,CPU base frequency,RAM,RAM type,RAM frequency,HDD,SSD,Video card,Model of video card,Video card capacity,Web-camera,Shape,Weight
https://www.foxtrot.com.ua/ru/shop/noutbuki_dell_vostro-5568-n008vn5568_ubu.html,Ноутбук DELL Vostro 5568 (N008VN5568_UBU),https://i1.foxtrot.com.ua/product/thumb/6407654.jpg,,15199,15.6,1366 х 768,Intel® Core™ i3 (6 поколение),6006U,2,2.0,4 Гб,DDR4,2400,500 Гб,,,Intel HD Graphics 520,,,19.2 х 380 х 252.5,1.98 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_dell_vostro-5568-n008vn5568_w10.html,Ноутбук DELL Vostro 5568 (N008VN5568_W10),https://i1.foxtrot.com.ua/product/thumb/6407655.jpg,,19199,15.6,1366 х 768,Intel® Core™ i3 (6 поколение),6006U,2,2.0,4 Гб,DDR4,2400,500 Гб,,,Intel HD Graphics 520,,1 Мп (HD),19.2 х 380 х 252.5,1.98 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_probooki7-8550u-1-8-4-0srib-1lr38av-_v21.html,Ноутбук HP ProBook 430 G5 (1LR38AV _V21),https://i1.foxtrot.com.ua/product/thumb/6411883.jpg,,34595,13.3,1920 x 1080,Intel® Core™ i7 (8 поколение),8550U,4,1.8,16 Гб,DDR4,2400,1 Тб,512 Гб,,Intel UHD Graphics 620,,1 Мп (HD),326 × 234 × 19.8,1.49 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_probook-440-g5--i5-8250u-sriblyastiy-1mj76av_v23.html,Ноутбук HP ProBook 440 G5 (1MJ76AV_V23),https://i1.foxtrot.com.ua/product/thumb/6411896.jpg,,28108,14,1920 x 1080,Intel® Core™ i5 (8 поколение),8250U,4,1.6,16 Гб,DDR4,2400,,512 Гб,,Intel UHD Graphics 620,,1 Мп (HD),336 x 238 x 20,1.63 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_probook-440-g5-i7-8550u-1mj79av_v5.html,Ноутбук HP ProBook 440 G5 (1MJ79AV_V5),https://i1.foxtrot.com.ua/product/thumb/6411905.jpg,,25055,14,1920 x 1080,Intel® Core™ i7 (8 поколение),8550U,4,1.8,8 Гб,DDR4,,1 Тб,,,Intel UHD Graphics 620,,1 Мп (HD),336 х 238 х 20,1.63 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_hp_probook-470-g5-i5-8250u-1lr91av_v6.html,Ноутбук HP ProBook 470 G5 (1LR91AV_V6),https://i1.foxtrot.com.ua/product/thumb/6411937.jpg,,33313,17.3,1920 x 1080,Intel® Core™ i5 (8 поколение),8250U,4,1.6,16 Гб,DDR4,2400,,512 Гб,NVIDIA,GeForce 930MX,2 Гб,1 Мп (HD),413.8 x 276 x 22.5,2.5 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_acer_aspire-7-a717-71g-56w3-nh-gtveu-010.html,Ноутбук ACER Aspire 7 A717-71G-56W3 (NH.GTVEU.010),https://i1.foxtrot.com.ua/product/thumb/6399302.jpg,,30599,17.3,1920 x 1080,Intel® Core™ i5 (7 поколение),7300HQ,4,2.5,12 Гб,DDR4,,1 Тб,128 Гб,NVIDIA,GeForce GTX1050,2 Гб,1 Мп (HD),423.3 x 289.9 x 28.3,2.9 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_acer_predator-triton-700-pt715-51-71qy-nh-q2leu-007.html,Ноутбук ACER Predator Triton 700 PT715-51-71QY (NH.Q2LEU.007),https://i1.foxtrot.com.ua/product/thumb/6399320.jpg,,118199,15.6,1920 x 1080,Intel® Core™ i7 (7 поколение),7700HQ,4,2.8,32 Гб,DDR4,,,1 Тб,NVIDIA,GeForce GTX1080,8 Гб,1 Мп (HD),393 x 266 x 18.9,2.45 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_ul81bv007sra.html,Ультрабук Lenovo IdeaPad 720S-13IKBR (81BV007SRA),https://i1.foxtrot.com.ua/product/thumb/6405677.jpg,,37280,13.3,1920 x 1080,Intel® Core™ i7 (8 поколение),8550U,4,1.8,8 Гб,DDR4,2400,,512 Гб,,Intel HD Graphics 620,,1 Мп (HD),305.9 x 213.82 x 13.6,1.1 кг
https://www.foxtrot.com.ua/ru/shop/noutbuki_lenovo_ul80xl041ura.html,Ноутбук Lenovo IdeaPad 320-15 (80XL041URA),https://i1.foxtrot.com.ua/product/thumb/6405690.jpg,,14535,15.6,1920 x 1080,Intel® Core™ i3 (7 поколение),7130U,2,2.7,4 Гб,DDR4,2133,2 Тб,,NVIDIA,GeForce 940MX,2 Гб,0.3 Мп (VGA),378 x 260 x 22.9,2.2 кг
